('latter', 'books/book1|1')
('power', 'books/book1|2 books/book3|1')
('render', 'books/book1|1')
('our', 'books/book2|1 books/book1|2')
('burdensome', 'books/book1|1')
('lies', 'books/book1|1')
('things', 'books/book2|2 books/book1|1 books/book3|2')
('slight', 'books/book1|1 books/book3|1')
('insignificant', 'books/book1|1')
('impossible', 'books/book1|1')
('add', 'books/book1|1')
('count', 'books/book1|1 books/book3|1')
('happiness', 'books/book2|1 books/book1|1')
('gives', 'books/book1|1')
('spirits', 'books/book2|1 books/book1|1 books/book3|1')
('glance', 'books/book1|1')
('think', 'books/book2|1 books/book1|1 books/book3|1')
('word', 'books/book2|1 books/book1|1 books/book3|1')
('thats', 'books/book1|1')
('grows', 'books/book1|1')
('observed', 'books/book1|1 books/book3|1')
('addressed', 'books/book1|1')
('could', 'books/book2|6 books/book1|1 books/book3|6')
('produced', 'books/book1|1')
('immediate', 'books/book1|1')
('prime', 'books/book1|1')
('alone', 'books/book1|1')
('sat', 'books/book2|1 books/book1|1 books/book3|2')
('fair', 'books/book1|1')
('girl', 'books/book2|2 books/book1|1')
('dress', 'books/book2|1 books/book1|1')
('carry', 'books/book2|1')
('father', 'books/book2|3 books/book3|1')
('trouble', 'books/book2|1')
('hurried', 'books/book2|1')
('meet', 'books/book2|1')
('bob', 'books/book2|8 books/book3|6')
('fellowcame', 'books/book2|1')
('tea', 'books/book2|1')
('ready', 'books/book2|2')
('hob', 'books/book2|1')
('most', 'books/book2|1')
('cratchits', 'books/book2|2')
('each', 'books/book2|1')
('dont', 'books/book2|2')
('mind', 'books/book2|1 books/book3|1')
('grieved', 'books/book2|1')
('spoke', 'books/book2|1')
('pleasantly', 'books/book2|1')
('family', 'books/book2|1 books/book3|2')
('praised', 'books/book2|1')
('industry', 'books/book2|1')
('speed', 'books/book2|1')
('cratchit', 'books/book2|2 books/book3|1')
('sunday', 'books/book2|4')
('robert', 'books/book2|1')
('wish', 'books/book2|1 books/book3|1')
('how', 'books/book2|2 books/book3|1')
('green', 'books/book2|1')
('often', 'books/book2|2 books/book3|1')
('farther', 'books/book2|1 books/book3|1')
('informs', 'books/book2|1')
('parting', 'books/book2|1')
('covered', 'books/book2|1')
('lying', 'books/book2|1')
('dead', 'books/book2|1')
('yet', 'books/book2|2 books/book3|4')
('wretched', 'books/book2|1')
('graves', 'books/book2|1')
('nearer', 'books/book2|1 books/book3|1')
('point', 'books/book2|1')
('will', 'books/book2|9 books/book3|1')
('may', 'books/book2|4 books/book3|4')
('still', 'books/book2|1 books/book3|3')
('downward', 'books/book2|2')
('mens', 'books/book2|1')
('courses', 'books/book2|2')
('persevered', 'books/book2|1')
('ever', 'books/book2|3 books/book1|1 books/book3|1')
('crept', 'books/book2|1')
('trembling', 'books/book2|1')
('finger', 'books/book2|1 books/book3|1')
('neglected', 'books/book2|1')
('nameebenezer', 'books/book2|1')
('lay', 'books/book2|1')
('o', 'books/book2|3 books/book3|1')
('hear', 'books/book2|1')
('past', 'books/book2|3 books/book3|1')
('hope', 'books/book2|2 books/book3|1')
('assure', 'books/book2|1')
('shown', 'books/book2|1')
('first', 'books/book2|2 books/book3|1')
('faltered', 'books/book2|1')
('year', 'books/book2|2 books/book3|1')
('live', 'books/book2|1 books/book3|3')
('strive', 'books/book2|1')
('within', 'books/book2|1 books/book3|2')
('shut', 'books/book2|1')
('holding', 'books/book2|1')
('prayer', 'books/book2|1')
('reversed', 'books/book2|1')
('phantoms', 'books/book2|1')
('hood', 'books/book2|1')
('shrunk', 'books/book2|1')
('collapsed', 'books/book2|1')
('bedpost', 'books/book2|2')
('best', 'books/book2|2 books/book3|1')
('happiest', 'books/book2|1')
('checked', 'books/book2|1')
('transports', 'books/book2|1')
('ringing', 'books/book2|1')
('opened', 'books/book2|2')
('fog', 'books/book2|1')
('mist', 'books/book2|1')
('boy', 'books/book2|6 books/book3|4')
('clothes', 'books/book2|1')
('fine', 'books/book2|2')
('fellow', 'books/book2|2 books/book3|1')
('havent', 'books/book2|1')
('missed', 'books/book2|1')
('hallo', 'books/book2|3')
('poulterers', 'books/book2|2')
('corner', 'books/book2|1')
('remarkable', 'books/book2|1')
('whether', 'books/book2|1 books/book3|1')
('hanging', 'books/book2|2')
('turkeythe', 'books/book2|1')
('big', 'books/book2|2')
('talk', 'books/book2|1')
('go', 'books/book2|4 books/book3|2')
('walker', 'books/book2|3')
('story', 'books/book2|1 books/book3|8')
('earnest', 'books/book2|1')
('give', 'books/book2|3')
('where', 'books/book2|2 books/book3|4')
('take', 'books/book2|1 books/book3|1')
